simulation_index,param_file,cycle_detail_csv,life_detail_csv,80soh_cycle,Initial SEI thickness [m]__multiplier,SEI solvent diffusivity [m2.s-1]__multiplier,Lithium plating kinetic rate constant [m.s-1]__multiplier,Dead lithium decay constant [s-1]__multiplier,Negative electrode critical stress [Pa]__multiplier,Negative electrode LAM constant proportional term [s-1]__multiplier,Initial SEI thickness [m]__value,SEI solvent diffusivity [m2.s-1]__value,Lithium plating kinetic rate constant [m.s-1]__value,Dead lithium decay constant [s-1]__value,Negative electrode critical stress [Pa]__value,Negative electrode LAM constant proportional term [s-1]__value
47,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000047.csv,life_soh_csv/sim_000047.csv,372,1.0530202836100304,8.853368399504458,27.727829297929915,33.837111729778975,1.0606112079698524,2.5248350606449232,5.2651014180501526e-09,2.2133420998761143e-21,2.7727829297929916e-08,3.3837111729778974e-05,63636672.478191145,1.0099340242579693e-05
48,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000048.csv,life_soh_csv/sim_000048.csv,532,1.2879937081844843,11.420343037057268,35.86128985206461,26.987699224594305,0.9635239053243582,1.262880531347477,6.4399685409224215e-09,2.8550857592643167e-21,3.586128985206461e-08,2.6987699224594303e-05,57811434.31946149,5.051522125389907e-06
49,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000049.csv,life_soh_csv/sim_000049.csv,341,1.2461199661001672,6.180960015220185,8.910677147627894,30.85147360084378,1.1040950587106955,2.9164026200014455,6.230599830500836e-09,1.5452400038050461e-21,8.910677147627894e-09,3.085147360084378e-05,66245703.522641726,1.1665610480005781e-05
50,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000050.csv,life_soh_csv/sim_000050.csv,462,1.7882809170095624,18.624619699432372,17.07613460120941,5.674121571836213,0.9862981008777737,2.28649521618732,8.941404585047812e-09,4.6561549248580926e-21,1.707613460120941e-08,5.674121571836212e-06,59177886.05266642,9.145980864749279e-06
51,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000051.csv,life_soh_csv/sim_000051.csv,507,1.5514741496672224,11.249417563196037,32.016315776464445,45.614760330963826,0.8828904751431615,1.03923475998128,7.757370748336112e-09,2.8123543907990088e-21,3.201631577646445e-08,4.5614760330963826e-05,52973428.50858969,4.156939039925119e-06
52,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000052.csv,life_soh_csv/sim_000052.csv,571,1.1746659346378705,26.916703322045688,40.078319942252605,32.60162509389602,1.0081106054732945,1.5840219610298099,5.8733296731893524e-09,6.729175830511421e-21,4.007831994225261e-08,3.260162509389602e-05,60486636.32839767,6.336087844119239e-06
53,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000053.csv,life_soh_csv/sim_000053.csv,367,1.3474846556459024,6.509986209880658,9.72302118100147,14.151615819482736,0.8127605760480526,1.8866584007939082,6.737423278229512e-09,1.6274965524701644e-21,9.723021181001472e-09,1.4151615819482734e-05,48765634.56288316,7.546633603175632e-06
54,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000054.csv,life_soh_csv/sim_000054.csv,453,1.042317735290211,20.93954642535295,46.053921374822565,21.357181063158215,1.129376327023507,2.6709667915704145,5.211588676451056e-09,5.234886606338237e-21,4.605392137482257e-08,2.1357181063158213e-05,67762579.62141043,1.0683867166281657e-05
55,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000055.csv,life_soh_csv/sim_000055.csv,325,1.9401935004719453,24.072350501755693,36.82118572984983,34.57945746446043,0.9265861668488076,2.0405703465463882,9.700967502359726e-09,6.018087625438923e-21,3.6821185729849835e-08,3.457945746446043e-05,55595170.01092845,8.162281386185553e-06
56,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000056.csv,life_soh_csv/sim_000056.csv,780,1.4705374518085266,15.864201200488658,23.94605895198339,25.381064040779478,1.1718248674662013,1.4258153408365084,7.352687259042633e-09,3.966050300122164e-21,2.394605895198339e-08,2.5381064040779478e-05,70309492.04797208,5.703261363346033e-06
57,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000057.csv,life_soh_csv/sim_000057.csv,298,1.6265717787356304,12.22731032765098,12.70928720180116,39.11817017515208,1.07796635000065,2.7546826621511933,8.132858893678152e-09,3.0568275819127444e-21,1.2709287201801161e-08,3.911817017515208e-05,64677981.000039,1.1018730648604773e-05
58,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000058.csv,life_soh_csv/sim_000058.csv,315,1.2607861061605372,20.673708104870997,28.183912508464264,42.2042006192277,1.0267098664327632,2.671527482010089,6.303930530802686e-09,5.168427026217749e-21,2.8183912508464264e-08,4.2204200619227697e-05,61602591.98596579,1.0686109928040355e-05
59,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000059.csv,life_soh_csv/sim_000059.csv,356,1.4384792487359057,19.881560789332607,38.97466953294196,30.77457290411001,0.9331989485638406,2.016181216936266,7.192396243679528e-09,4.970390197333151e-21,3.897466953294196e-08,3.077457290411001e-05,55991936.91383044,8.064724867745063e-06
60,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000060.csv,life_soh_csv/sim_000060.csv,482,1.8315586379590125,25.55781700829359,12.717902716170927,23.39061940056866,0.8287166084848783,1.194435531054454,9.157793189795063e-09,6.389454252073397e-21,1.2717902716170928e-08,2.339061940056866e-05,49722996.509092696,4.777742124217816e-06
61,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000061.csv,life_soh_csv/sim_000061.csv,365,1.672263236853712,10.718326255891249,24.018783977141055,18.26057090797505,0.968055248685126,2.4120043589441,8.361316184268561e-09,2.679581563972812e-21,2.4018783977141058e-08,1.826057090797505e-05,58083314.92110756,9.6480174357764e-06
62,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000062.csv,life_soh_csv/sim_000062.csv,604,1.9504598981129524,16.671826705359106,17.434807737832685,6.596154494135796,0.8654281214980619,1.257171265281043,9.752299490564762e-09,4.167956676339776e-21,1.7434807737832687e-08,6.596154494135795e-06,51925687.28988372,5.028685061124171e-06
63,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000063.csv,life_soh_csv/sim_000063.csv,450,1.1391477211341454,6.78387332045836,6.361785262319306,35.12721715412634,1.1231484824937574,1.9649899376780797,5.695738605670727e-09,1.69596833011459e-21,6.361785262319306e-09,3.512721715412634e-05,67388908.94962545,7.859959750712318e-06
64,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000064.csv,life_soh_csv/sim_000064.csv,708,1.5632939198492681,13.69700949208939,45.45242279545297,12.091461895122794,1.1910454352233169,1.7274178700472953,7.81646959924634e-09,3.424252373022347e-21,4.545242279545297e-08,1.2091461895122793e-05,71462726.11339901,6.9096714801891806e-06
65,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000065.csv,life_soh_csv/sim_000065.csv,347,1.1114267011365841,27.551290689621332,33.45397222396873,48.37028590908846,1.094537750760513,2.8230699779879753,5.557133505682921e-09,6.887822672405333e-21,3.345397222396873e-08,4.837028590908846e-05,65672265.045630775,1.1292279911951901e-05
66,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000066.csv,life_soh_csv/sim_000066.csv,566,1.0037647939123464,17.256221697501232,6.260811261983446,10.084410473471564,1.1889154341060346,2.6652074776295502,5.018823969561732e-09,4.314055424375308e-21,6.260811261983447e-09,1.0084410473471563e-05,71334926.04636207,1.0660829910518201e-05
67,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000067.csv,life_soh_csv/sim_000067.csv,254,1.6104124014206278,27.762616168212485,36.78442561686013,15.30143868237348,0.8392628705244979,2.993808177443821,8.052062007103139e-09,6.94065404205312e-21,3.6784425616860135e-08,1.530143868237348e-05,50355772.23146987,1.1975232709775284e-05
68,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000068.csv,life_soh_csv/sim_000068.csv,702,1.1299330994161874,11.40255595976611,48.56876854394891,40.4415861783345,1.0476784320307941,1.1626071348423694,5.649665497080937e-09,2.850638989941527e-21,4.856876854394892e-08,4.04415861783345e-05,62860705.92184765,4.650428539369477e-06
69,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000069.csv,life_soh_csv/sim_000069.csv,422,1.2904667229001228,10.538510325234311,19.967287359039794,26.76235779492768,0.9424341678871362,1.7484474557152558,6.4523336145006136e-09,2.6346275813085775e-21,1.9967287359039795e-08,2.676235779492768e-05,56546050.07322817,6.993789822861023e-06
70,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000070.csv,life_soh_csv/sim_000070.csv,501,1.7076711375377185,22.419565566902705,30.747876403067707,37.14734467389166,1.123413420832964,1.9936554546263565,8.538355687688592e-09,5.604891391725676e-21,3.074787640306771e-08,3.714734467389166e-05,67404805.24997784,7.974621818505425e-06
